=== ACCELERATOR QUANTIZATION PIPELINE M0/S CONFIG ===

--------------------- LAYER 0 ---------------------
[ATTEN-Quantize (32->8)]     M0: 1972133394   | S: 11
[ATTEN-Quantize (32->8)]     M0: 1104008503   | S: 10
[ATTEN-Quantize (32->8)]     M0: 1958868565   | S: 10
[QKt Dequantize (32->Q5.26)] M0: 2051840830   | S: -12
[Softmax Quant (Q1.15->8)]   M0: 1417471555   | S: 5
[.VGeMM Quant (32->8)]       M0: 2130779236   | S: 8
[Wo Quantize (32->8)]        M0: 1614228903   | S: 10
[Add&Norm Quant (?->8)]      M0: 1845025262   | S: 21
[FFN1 Dequant (32->Q10.22)]  M0: 1449841874   | S: -6
[GELU Quant (Q48.16->8)]     M0: 1556097776   | S: 10
[FFN2 Quant (32->8)]         M0: 1763007950   | S: 11

--------------------- LAYER 1 ---------------------
[ATTEN-Quantize (32->8)]     M0: 1081081080   | S: 10
[ATTEN-Quantize (32->8)]     M0: 1108794819   | S: 10
[ATTEN-Quantize (32->8)]     M0: 1393456876   | S: 10
[QKt Dequantize (32->Q5.26)] M0: 1963391527   | S: -12
[Softmax Quant (Q1.15->8)]   M0: 1193079389   | S: 5
[.VGeMM Quant (32->8)]       M0: 1571021856   | S: 7
[Wo Quantize (32->8)]        M0: 1656627290   | S: 11
[Add&Norm Quant (?->8)]      M0: 1783102513   | S: 21
[FFN1 Dequant (32->Q10.22)]  M0: 1500191834   | S: -6
[GELU Quant (Q48.16->8)]     M0: 1533405172   | S: 10
[FFN2 Quant (32->8)]         M0: 1860967253   | S: 11

--------------------- LAYER 2 ---------------------
[ATTEN-Quantize (32->8)]     M0: 1138621866   | S: 10
[ATTEN-Quantize (32->8)]     M0: 1093909335   | S: 10
[ATTEN-Quantize (32->8)]     M0: 1221084528   | S: 10
[QKt Dequantize (32->Q5.26)] M0: 1967157660   | S: -12
[Softmax Quant (Q1.15->8)]   M0: 1243924371   | S: 5
[.VGeMM Quant (32->8)]       M0: 1759490783   | S: 8
[Wo Quantize (32->8)]        M0: 1298907977   | S: 11
[Add&Norm Quant (?->8)]      M0: 1753598033   | S: 21
[FFN1 Dequant (32->Q10.22)]  M0: 1525432187   | S: -6
[GELU Quant (Q48.16->8)]     M0: 1467772199   | S: 10
[FFN2 Quant (32->8)]         M0: 1658178314   | S: 11

--------------------- LAYER 3 ---------------------
[ATTEN-Quantize (32->8)]     M0: 1089659065   | S: 10
[ATTEN-Quantize (32->8)]     M0: 1119828917   | S: 10
[ATTEN-Quantize (32->8)]     M0: 1218363151   | S: 10
[QKt Dequantize (32->Q5.26)] M0: 2109976621   | S: -12
[Softmax Quant (Q1.15->8)]   M0: 1302981916   | S: 5
